题号,答案,题目,错误答案
question_kn,answer_s,topic_s,wrong_s
1,3.6万平方公里,台湾面积有多大？,2.6万平方公里
2,509.2米,台湾最高的建筑有多少米？,510.2米
3,疟疾,用金鸡纳树的树皮制成的“金鸡纳霜”可以治哪种传染病？,肺结核
4,人参,下列哪一种中药名不是以传说取名的？,使君子
5,银杏,下面哪一种树被称为“活化石”？,月桂
6,沼泽地,鹤是生长在？,灌木丛
7,风力,薄公英靠什麽传播种子？ ,蜜蜂
8,玉山,台湾最高的山是？,石山
9,台湾杉,台湾最著名的树种是？,水杉
10,贵妃竹,台湾有名竹子是？,香妃竹
11,高雄,哪一个是台湾的城市？,高丽
12,日报,什么东西的制造日期和有效期是同一天？,食物
13,阿拉伯数字,什么字全世界通用？,英文
14,头,南瓜和凤梨砸头，哪个疼些？,凤梨
15,“H”,"铅笔有硬软之分,用英文字母来表示,下列符号相比哪个表示较硬？",“2B”
16,冲洗眼睛,动物的哭泣一般是由于？,伤心
17,麋鹿,俗称“四不象”的动物是？,羚羊
18,13,“豆寇年华”是指几岁？,16
19,天鹰座,牛郎星是属于什么星座？,金牛座
20,蓝鲸,世界上最大的鲸是什么鲸？,虎鲸
21,战争,奥运会上的马拉松比赛的起源与什么有关?,游戏
22,倒退,"火车连续发出两声长鸣,这表示？",前进
23,信的内容,通常人们在信尾写上“此致敬礼”，这个“此”是指？,礼貌用语
24,望梅止渴,以下表示条件反射的一个成语是？,朝三暮四
25,排水,荷兰的风车主要用于？,发电
26,日本人,一次性筷子的发明者？,英国人
27,亚马逊平原,世界上最大的平原？,东北平原
28,拉美,鸡尾酒会最早出现于？,北美
29,羽毛,最早的扇子是用什么做的？,竹子
30,产卵,你知道蚊子吸血是为了什么吗？,补充能量
31,心脏,“打蛇打七寸”的七寸是指？,大肠
32,3月12日,植树节是指哪一天？,3月23日
33,不是,海马是马吗？,是
34,斑叶兰,最小的种子是什么？,芝麻
35,黄鼠狼,“狼毫”的原料取自哪种动物的毛?,白眼狼
36,二月,被称为杏月的月份是?,三月
