索引,说明,正确答案,错误答案,flag
index_kn,readme_s,answer1_s,answer2_s,flag_c
1,充值50元可以获得哪位仙君？,孙悟空,哪吒,0
2,以下哪个活动会定时出现双倍收益？,跨服组队,全民boss,0
3,野外boss获得奖励的方式有几种？,2种,1种,0
4,首充奖励装备名称叫什么？,定海神针,金箍棒,0
5,友情商店的购买道具货币怎么获得？,好友赠送,赠送好友,0
6,怎么获得威望值？,弟子完成师徒任务,师傅完成师徒任务,0
7,被烟火围困，暂时无法逃离时应尽量待在哪里？,窗口,门边,0
8,止血带止血是将上肢结扎于伤员上臂的哪里？,三分之一,三分之二,0
9,不能怎么处理劲椎骨骨折的伤者？,垫枕头,垫棉被,0
10,手提式二氧化碳灭火器的手轮式使用方法不包括？,拔去保险销,撕掉铅封,0
11,火灾中，房门烫手时开门会发生什么？,浓烟涌入,地震,0
12,把胶带按什么形状贴在窗上，可以加固玻璃？,米字型,口字型,0
13,风暴来临时，错误的做法是什么？,打开门窗,用手保护头部,0
14,沿山谷徒步时，遭遇大雨不该怎么做？,留在谷底,离山谷越远越好,0
15,电梯下坠时，什么动作不能保护自己？,平躺,握紧手把,0
16,"""将相和""讲的是战国时期的哪国人？",赵国,燕国,0
17,"""煮酒论英雄""的典故发生在哪个时期？",三国,隋朝,0
18,承德避暑山庄是哪个皇帝开始建造？,康熙,乾隆,0
19,一言九鼎这个典故中涉及的历史人物是？,毛遂,毛阶,0
20,床前明月光的"床"是什麽意思？,井栏,榻,0
21,人体最大的解毒器官是？,肝脏,肾脏,0
22,什麽门永远关不上?,球门,铁门,0
23,岳飞《满江红》词里所说的“靖康耻”是指哪件事 ,金灭北宋,金灭辽,0
24,世界杯足球赛几年举办一次,4,5,0
25,正常成人的脊柱有几个生理弯曲,4,2,0
26,孟夏在古代时令中是指农历几月？,4月,6月,0
27,太阳是什麽星？,恒星,行星,0
28,秦代竹简上的文字，应该是？,小篆  ,楷书,0
29,西汉文学成就中，最为突出的是？,赋和乐府诗,戏剧,0
30,李世民的帝号是什麽？,唐太宗,唐玄宗,0
31,地上小青龙，眼睛一点红，嘴里吐烟雾，为你除蚊虫。(物名) ,蚊香,橡皮擦,0
32,“水利万物而不争”出自于？,上善若水,道德经,0
33,火烧蜘蛛网 〈猜成语〉 ,一丝不挂,万念俱灰,0
34,古代中医治疗学的基础奠定于？,《伤寒杂病论》  ,《千金方》,0
35,早晨醒来，每个人都要做的第一件事是什麽？,睁开眼睛,刷牙,0
36,哪种比赛，赢的得不到奖品，输的却有奖品?,划拳喝酒,没有这种比赛,0
37,你在家里，和谁长得最像？,自己,爸爸,0
38,哪一个月有二十八天?,每个月都有,二月,0
39,真丝衣服能不能与樟脑丸放在一起？,不能,能,0
40,什麽路最窄?,冤家路窄,小巷,0
41,“琴棋书画”中的“棋”指?,围棋,象棋,0
